ID,Author,Year,category,species,gene,method,promoter,parameter,generation,age,treat_n,treat_mean,treat_sd,control_n,control_mean,control_sd
1,Vize et al.,1988,pig,Large white,pGH,transgenesis,HMT,weight_gain,P1,50,6,817,234,6,781,44
2,Vize et al.,1988,pig,Large white,pGH,transgenesis,HMT,plasma_GH,P1,0,6,7.07,10.38,6,6.4,5.2
3,Vize et al.,1988,pig,Large white,pGH,transgenesis,HMT,plasma_GH,P1,50,5,14.3,8.12,6,11.3,2.7
5,Zhang et al.,1990,fish,Common carp,rtGH,transgenesis,RSV,body_weight,P1,90,7,143.4,31,64,116.1,40
6,Zhang et al.,1990,fish,Common carp,rtGH,transgenesis,RSV,body_weight,F1,90,28,120.6,17.4,38,99.3,14.7
7,Zhang et al.,1990,fish,Common carp,rtGH,transgenesis,RSV,body_weight,F1,90,11,206,45.2,15,147,48
8,Du et al.,1992,fish,Atlantic salmon,csGH,transgenesis,opAFP,plasma_GH,P1,720,5,39.9,14.8,5,20.5,7.97
9,Du et al.,1992,fish,Atlantic salmon,csGH,transgenesis,opAFP,body_weight,P1,330,6,20.9,5.13,43,7.4,0.26
10,Du et al.,1992,fish,Atlantic salmon,csGH,transgenesis,opAFP,body_weight,P1,720,6,47.3,9.5,43,9.48,0.6
11,Du et al.,1992,fish,Atlantic salmon,csGH,transgenesis,opAFP,SGR,P1,720,6,0.836,0.186,43,0.213,0.023
12,Du et al.,1992,fish,Atlantic salmon,csGH,transgenesis,opAFP,condition_factor,P1,330,6,8.99,0.27,43,10,0.01
13,Du et al.,1992,fish,Atlantic salmon,csGH,transgenesis,opAFP,condition_factor,P1,720,6,9.07,0.48,43,10.5,0.1
14,Gross et al.,1992,fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,180,9,63.897,0,34,65.515,3.235
15,Gross et al.,1992,fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,180,9,77.647,4.044,34,69.559,3.235
16,Gross et al.,1992,fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,260,9,99.485,2.426,34,102.721,4.853
17,Gross et al.,1992,fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,260,9,130.221,11.324,34,108.382,6.471
18,Gross et al.,1992,fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,400,9,186.838,10.515,34,189.265,11.324
19,Gross et al.,1992,fish,Northern pike,csGH,transgenesis,RSV,body_weight,P1,400,9,186.838,5.662,34,161.765,9.706
20,Devlin et al.,1995,fish,Coho salmon,csGH,transgenesis,opAFP,body_weight,P1,150,6,14,1.1,25,3.9,0.4
21,Devlin et al.,1995,fish,Coho salmon,csGH,transgenesis,opAFP,body_weight,P1,450,15,278.2,61.3,370,26.1,1.7
22,Devlin et al.,1995,fish,Coho salmon,csGH,transgenesis,opAFP,SGR,P1,150,6,3.79,0.37,25,1.03,0.26
